/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20140411_0001_0035_d9298a29-5423-494a-9cd4-14b2002727c1,339,2,180
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20140411_0001_0035_d9298a29-5423-494a-9cd4-14b2002727c1,369,180,532
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20140410_0002_0006_ad26f3ac-7faf-4207-a175-e59c393d844e,46,-1,-1
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20140410_0002_0006_ad26f3ac-7faf-4207-a175-e59c393d844e,50,-1,-1
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20140411_0001_0036_784ee52f-9e0e-4f23-8e60-e31b8cb7a094,61,100,478
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20140410_0002_0007_f5670b6a-9d94-4d2e-a626-3bb2535c2b13,9,2,290
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20140411_0001_0037_814e1883-9601-44cc-9019-2ce3f6a5a567,165,230,636
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20140410_0002_0008_75156548-c97f-4506-acba-891a56b0475d,38,-1,-1
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20140410_0002_0008_75156548-c97f-4506-acba-891a56b0475d,55,-1,-1
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20140410_0002_0008_75156548-c97f-4506-acba-891a56b0475d,59,-1,-1
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20140411_0001_0038_19dc898a-ba6f-44ba-b9e5-18d826b909cb,338,1,170
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20140410_0002_0009_8bf10810-4693-46f4-b1a3-9e981579cefe,267,-1,-1
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20140410_0002_0011_59ab400b-9852-4cfc-8346-f33434017242,159,50,502
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20140410_0002_0011_59ab400b-9852-4cfc-8346-f33434017242,347,50,502
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20140410_0002_0012_a837349c-6add-401d-b135-4aaac6296f35,4,-1,-1
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20140410_0002_0012_a837349c-6add-401d-b135-4aaac6296f35,50,-1,-1
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20140410_0002_0016_dcb15d3b-f642-49b6-bb53-36a2d03a8efa,31,2,210
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20140410_0002_0016_dcb15d3b-f642-49b6-bb53-36a2d03a8efa,267,230,710
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20140410_0002_0017_75fca114-eddd-4a87-a6bd-2a90811d99d9,345,170,683
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20140410_0002_0018_396833c9-6976-47b6-8028-b9e26b61638d,124,2,170
